Study Variable,Study Form Name,Extracted CRF Name,Matched HEAL Core CRF,Exact/CRF Match Result,Exact Match CDE Name,Close Match Result,Best Close Match CDE Name,PV/Encoding Result,PV Similarity Score,Final Match Type
id,introduction,"Introduction Questionnaire
 ",No CRF match,Not in CDE,,No Close Match Found,Gender identification type,No Comparison Possible,,Close
introduction,introduction,"Introduction Questionnaire
 ",No CRF match,Not in CDE,,No Close Match Found,,No Comparison Possible,,No Match
referral_source,introduction,"Introduction Questionnaire
 ",No CRF match,Not in CDE,,No Close Match Found,,No Comparison Possible,,No Match
referral_other,introduction,"Introduction Questionnaire
 ",No CRF match,Not in CDE,,No Close Match Found,,No Comparison Possible,,No Match
contact_y_n,introduction,"Introduction Questionnaire
 ",No CRF match,Not in CDE,,No Close Match Found,,No Comparison Possible,,No Match
rhc_care,eligibility_criteria,"Eligibility and Exclusion Criteria Questionnaire
 ",No CRF match,Not in CDE,,No Close Match Found,,No Comparison Possible,,No Match
age55_eligibility,eligibility_criteria,"Eligibility and Exclusion Criteria Questionnaire
 ",No CRF match,Not in CDE,,No Close Match Found,Age ,No Comparison Possible,,Close
age_eligibility,eligibility_criteria,"Eligibility and Exclusion Criteria Questionnaire
 ",No CRF match,Not in CDE,,No Close Match Found,Age ,No Comparison Possible,,Close
cog_eligibility,eligibility_criteria,"Eligibility and Exclusion Criteria Questionnaire
 ",No CRF match,Not in CDE,,No Close Match Found,,No Comparison Possible,,No Match
cog_2_eligibility,eligibility_criteria,"Eligibility and Exclusion Criteria Questionnaire
 ",No CRF match,Not in CDE,,No Close Match Found,,No Comparison Possible,,No Match
smedi_eligibility,eligibility_criteria,"Eligibility and Exclusion Criteria Questionnaire
 ",No CRF match,Not in CDE,,No Close Match Found,,No Comparison Possible,,No Match
smenti_eligibility,eligibility_criteria,"Eligibility and Exclusion Criteria Questionnaire
 ",No CRF match,Not in CDE,,No Close Match Found,,No Comparison Possible,,No Match
sud_eligibility,eligibility_criteria,"Eligibility and Exclusion Criteria Questionnaire
 ",No CRF match,Not in CDE,,No Close Match Found,,No Comparison Possible,,No Match
walk_eligibility,eligibility_criteria,"Eligibility and Exclusion Criteria Questionnaire
 ",No CRF match,Not in CDE,,No Close Match Found,,No Comparison Possible,,No Match
