schemaVersion,section,name,title,description,type,format,constraints.required,constraints.maxLength,constraints.enum,constraints.pattern,constraints.maximum,constraints.minimum,enumLabels,enumOrdered,missingValues,trueValues,falseValues,custom,standardsMappings[0].instrument.url,standardsMappings[0].instrument.source,standardsMappings[0].instrument.title,standardsMappings[0].instrument.id,standardsMappings[0].item.url,standardsMappings[0].item.source,standardsMappings[0].item.id,relatedConcepts[0].url,relatedConcepts[0].title,relatedConcepts[0].source,relatedConcepts[0].id
0.3.2,form_1_screener,record_id,Record ID,Record ID,string,,,,,,,,,,,,,,,,,,,,,,,,
0.3.2,form_1_screener,scr_date,Date of Interview,Date of Interview,date,any,,,,,,,,,,,,,,,,,,,,,,,
0.3.2,form_1_screener,scr_pilot___1,Scr_Pilot: Yes,Check this box if the record is from the pilot study and should be kept.[choice=Yes],boolean,,,,0|1,,,,0=Unchecked|1=Checked,,,,,,,,,,,,,,,,
0.3.2,form_1_screener,scr_loc,"Location of screening:This is an interviewer question, DO NOT ask the participant.","Location of screening:This is an interviewer question, DO NOT ask the participant.",integer,,,,1|2|3|555,,,,"1=Phone Call|2=Walk-in|3=Outreach, please provide location {scr_loc_outreach}|555=Other, please specify {scr_loc_other}",,,,,,,,,,,,,,,,
0.3.2,form_1_screener,scr_loc_outreach,"Outreach, please provide location","Outreach, please provide location",string,,,,,,,,,,,,,,,,,,,,,,,,
0.3.2,form_1_screener,scr_loc_other,"Other, please specify","Other, please specify",string,,,,,,,,,,,,,,,,,,,,,,,,
0.3.2,form_1_screener,scr_about,How did you hear about the study?,How did you hear about the study?,integer,,,,1|2|3|555,,,,"1=Referral Coupon, please provide coupon code {scr_about_coupon}|2=Flyer, please provide location of flyer {scr_about_flyer}|3=Research Staff|555=Other, please specify {scr_about_other}",,,,,,,,,,,,,,,,
0.3.2,form_1_screener,scr_about_coupon,"Referral Coupon, please provide coupon code","Referral Coupon, please provide coupon code",string,,,,,,,,,,,,,,,,,,,,,,,,
0.3.2,form_1_screener,scr_about_flyer,"Flyer, please provide location of flyer","Flyer, please provide location of flyer",string,,,,,,,,,,,,,,,,,,,,,,,,
0.3.2,form_1_screener,scr_about_other,"Other, please specify","Other, please specify",string,,,,,,,,,,,,,,,,,,,,,,,,
0.3.2,form_1_screener,scr_age,How old are you?,How old are you?,integer,,,,1|2,,,,"1=18 years or older, please specify age {scr_age_years}|2=Under 18 years old",,,,,,,,,,,,,,,,
0.3.2,form_1_screener,scr_age_years,Please specify age,Please specify age,integer,,,,,,,,,,,,,,,,,,,,,,,,
0.3.2,form_1_screener,scr_live,In which city/town do you live/spend most of the time?,In which city/town do you live/spend most of the time?,integer,,,,1|2|3|4|555,,,,"1=Reno/Sparks/North Valleys|2=Carson City|3=Fernley|4=Fallon|555=Other, please specify {scr_live_other}",,,,,,,,,,,,,,,,
0.3.2,form_1_screener,scr_live_other,"Other, please specify","Other, please specify",string,,,,,,,,,,,,,,,,,,,,,,,,
0.3.2,form_1_screener,scr_anchor_3mo,Date anchor for 3 months prior (can be embedded),Date anchor for 3 months prior (can be embedded),date,any,,,,,,,,,,,,,,,,,,,,,,,
0.3.2,form_1_screener,scr_ed,Have you been seen by a medical provider in the past 3 months?3 months prior: [scr_anchor_3mo],Have you been seen by a medical provider in the past 3 months?3 months prior: [scr_anchor_3mo],integer,,,,0|1|888|999,,,,0=No|1=Yes|888=Don't know|999=Prefer to not answer,,,,,,,,,,,,,,,,
