schemaVersion,section,name,title,description,type,format,constraints.required,constraints.maxLength,constraints.enum,constraints.pattern,constraints.maximum,constraints.minimum,enumLabels,enumOrdered,missingValues,trueValues,falseValues,custom,standardsMappings[0].instrument.url,standardsMappings[0].instrument.source,standardsMappings[0].instrument.title,standardsMappings[0].instrument.id,standardsMappings[0].item.url,standardsMappings[0].item.source,standardsMappings[0].item.id,relatedConcepts[0].url,relatedConcepts[0].title,relatedConcepts[0].source,relatedConcepts[0].id
0.3.2,subject_id,subject_id,Unique identifier composed of the Animal Protocol number and the unique animal number inside that protocol.,Unique identifier composed of the Animal Protocol number and the unique animal number inside that protocol.,string,,,,,,,,,,,,,,,,,,,,,,,,
0.3.2,iacuc_protocol_number,iacuc_protocol_number,Institutional Animal Care And Use Committee approved protocol number,Institutional Animal Care And Use Committee approved protocol number,string,,,,,,,,,,,,,,,,,,,,,,,,
0.3.2,principal_investigator_of_the_research_laboratory,laboratory,Principal Investigator of the laboratory in which this study was performed,Principal Investigator of the laboratory in which this study was performed,string,,,,,,,,,,,,,,,,,,,,,,,,
0.3.2,person_coordinating_the_study,studyleader,Person coordinating the study,Person coordinating the study,string,,,,,,,,,,,,,,,,,,,,,,,,
0.3.2,species,species,The species of animal,The species of animal,string,,,,,,,,,,,,,,,,,,,,,,,,
0.3.2,strain,strain,The strain of the species,The strain of the species,string,,,,,,,,,,,,,,,,,,,,,,,,
0.3.2,sex,sex,The biological sex of the animal,The biological sex of the animal,string,,,,M|F,,,,M=M|F=F,,,,,,,,,,,,,,,,
0.3.2,animal_vendor,animal_origin,The vendor where the animal was purchased from,The vendor where the animal was purchased from,string,,,,,,,,,,,,,,,,,,,,,,,,
0.3.2,age_of_the_mouse_at_injury_day,age,Age of the mouse at injury day,Age of the mouse at injury day,integer,,,,,,,,,,,,,,,,,,,,,,,,
0.3.2,weight_of_the_mouse_on_injury_day,weight,Weight of the mouse on injury day,Weight of the mouse on injury day,integer,,,,,,,,,,,,,,,,,,,,,,,,
0.3.2,animals_excluded_in_final_study,exclusion_in_origin_study,Whether the subject was excluded in the original study,Whether the subject was excluded in the original study,string,,,,,,,,,,,,,,,,,,,,,,,,
0.3.2,reason_for_exclusion_from_study,exclusion_reason,"The reason or criteria for excluding subjects from the originating study, such as minor or severe spinal cord lesions, animal diseases, premature death, or any other relevant factors.","The reason or criteria for excluding subjects from the originating study, such as minor or severe spinal cord lesions, animal diseases, premature death, or any other relevant factors.",string,,,,,,,,,,,,,,,,,,,,,,,,
0.3.2,cause_of_death,cause_of_death,"The cause of death of the subjects, including whether it was due to perfusion/necropsy, complications during surgery, euthanized for health reasons, unknown reasons, or any other applicable cause.","The cause of death of the subjects, including whether it was due to perfusion/necropsy, complications during surgery, euthanized for health reasons, unknown reasons, or any other applicable cause.",string,,,,,,,,,,,,,,,,,,,,,,,,
0.3.2,whether_the_data_from_the_study_has_been_published,published,Whether the data is derived from a set or sets of experiments that have already been published or not,Whether the data is derived from a set or sets of experiments that have already been published or not,string,,,,,,,,,,,,,,,,,,,,,,,,
0.3.2,the_tool_used_to_generate_the_lesion,injury_device,Infinite Horizons Impactor,Infinite Horizons Impactor,string,,,,,,,,,,,,,,,,,,,,,,,,
0.3.2,experimental_group,group,Treatment/Experimental Group,Treatment/Experimental Group,string,,,,,,,,,,,,,,,,,,,,,,,,
0.3.2,survival_time,survival_time,Survival time following spinal cord injury,Survival time following spinal cord injury,integer,,,,7|28|49,,,,7=7|28=28|49=49,,,,,,,,,,,,,,,,
0.3.2,type_of_spinal_cord_injury,injury_type,Indicates the type and level of spinal cord injury,Indicates the type and level of spinal cord injury,string,,,,,,,,,,,,,,,,,,,,,,,,
0.3.2,contusive_force,contusive_force,Force of impactor probe during spinal cord impact as measured by Infinite Horizons SCI Device,Force of impactor probe during spinal cord impact as measured by Infinite Horizons SCI Device,integer,,,,,,,,,,,,,,,,,,,,,,,,
0.3.2,cord_displacement,cord_displacement_um,displacement of the spinal cord in the dorsal to ventral direction during spinal cord impact as measured by Infinite Horizons SCI Device,displacement of the spinal cord in the dorsal to ventral direction during spinal cord impact as measured by Infinite Horizons SCI Device,integer,,,,,,,,,,,,,,,,,,,,,,,,
0.3.2,velocity_of_impactor,impactor_velocity,velocity of IH impactor probe during spinal cord impact as measured by Infinite Horizons SCI Device,velocity of IH impactor probe during spinal cord impact as measured by Infinite Horizons SCI Device,integer,,,,,,,,,,,,,,,,,,,,,,,,
0.3.2,ipsilateral_von_frey_week_0,ipsi_vf_w0,Ipsilateral Manual Von Frey using the Up-Down Method represented as 50% paw withdawal threshold at week 0,Ipsilateral Manual Von Frey using the Up-Down Method represented as 50% paw withdawal threshold at week 0,integer,,,,,,,,,,,,,,,,,,,,,,,,
