schemaVersion,section,name,title,description,type,format,constraints.required,constraints.maxLength,constraints.enum,constraints.pattern,constraints.maximum,constraints.minimum,enumLabels,enumOrdered,missingValues,trueValues,falseValues,custom,standardsMappings[0].instrument.url,standardsMappings[0].instrument.source,standardsMappings[0].instrument.title,standardsMappings[0].instrument.id,standardsMappings[0].item.url,standardsMappings[0].item.source,standardsMappings[0].item.id,relatedConcepts[0].url,relatedConcepts[0].title,relatedConcepts[0].source,relatedConcepts[0].id
0.3.2,enrollment_information,record_id,Record ID,Record ID,string,,,,,,,,,,,,,,,,,,,,,,,,
0.3.2,enrollment_information,enroll_consent,Subject has consented:,Subject has consented:,boolean,,,,0|1,,,,0=No|1=Yes,,,,,,,,,,,,,,,,
0.3.2,enrollment_information,icf_1,"1. Prior to signing the consent, was the study discussed with the participant? This is including, but not limited to, all potential risks, benefits, discomforts and participant responsibilities.","Informed Consent Form Checklist: 1. Prior to signing the consent, was the study discussed with the participant? This is including, but not limited to, all potential risks, benefits, discomforts and participant responsibilities.",integer,,,,1|0,,,,1=Yes|0=No,,,,,,,,,,,,,,,,
0.3.2,enrollment_information,icf_2,2. Did the participant read the entire Informed Consent Form (ICF) at his/her own pace?,Informed Consent Form Checklist: 2. Did the participant read the entire Informed Consent Form (ICF) at his/her own pace?,integer,,,,1|0,,,,1=Yes|0=No,,,,,,,,,,,,,,,,
0.3.2,enrollment_information,icf_3,3. Was the participant given the opportunity to ask questions?,Informed Consent Form Checklist: 3. Was the participant given the opportunity to ask questions?,integer,,,,1|0,,,,1=Yes|0=No,,,,,,,,,,,,,,,,
0.3.2,enrollment_information,icf_4,"4. Was the participant consent conducted prior to initiation of any study related procedures, including data collection or measurements?","Informed Consent Form Checklist: 4. Was the participant consent conducted prior to initiation of any study related procedures, including data collection or measurements?",integer,,,,1|0,,,,1=Yes|0=No,,,,,,,,,,,,,,,,
0.3.2,enrollment_information,icf_5,"5. Did the participant execute the ICF, HIPAA, and any other required consent documents?","Informed Consent Form Checklist: 5. Did the participant execute the ICF, HIPAA, and any other required consent documents?",integer,,,,1|0,,,,1=Yes|0=No,,,,,,,,,,,,,,,,
0.3.2,enrollment_information,icf_6,6. Was the participant given a copy of the signed and dated ICF?,Informed Consent Form Checklist: 6. Was the participant given a copy of the signed and dated ICF?,integer,,,,1|0,,,,1=Yes|0=No,,,,,,,,,,,,,,,,
0.3.2,enrollment_information,icf_7,7. Was the consent process documented?,Informed Consent Form Checklist: 7. Was the consent process documented?,integer,,,,1|0,,,,1=Yes|0=No,,,,,,,,,,,,,,,,
0.3.2,enrollment_information,icf_completedby,ICF Checklist completed by,Informed Consent Form Checklist: ICF Checklist completed by,integer,,,,1|2|3|4|5|6|7|8,,,,1=Person_1|2=Person_2|3=Person_3|4=Person_4|5=Person_5|6=Person_6|7=Person_7|8=Person_8,,,,,,,,,,,,,,,,
0.3.2,enrollment_information,trtment,Group assigned to,Informed Consent Form Checklist: Group assigned to,integer,,,,1|2|3|4,,,,1=Healthy|2=cLBP: no myofascial pain|3=cLBP: MP with latent tender points|4=cLBP: MP with active trigger points,,,,,,,,,,,,,,,,
0.3.2,enrollment_information,enroll_phnnum,Device Phone Number:,Informed Consent Form Checklist: Device Phone Number:,string,,,,,^[0-9]{3}-[0-9]{3}-[0-9]{4}$,,,,,,,,,,,,,,,,,,,
0.3.2,enrollment_information,subject_completion,Subject has completed study:,Informed Consent Form Checklist: Subject has completed study:,boolean,,,,0|1,,,,0=No|1=Yes,,,,,,,,,,,,,,,,
0.3.2,all_visits,studyvisit_1,Study Visit,Study Visit,datetime,any,,,,,,,,,,,,,,,,,,,,,,,
