schemaVersion,section,name,title,description,type,format,constraints.required,constraints.maxLength,constraints.enum,constraints.pattern,constraints.maximum,constraints.minimum,enumLabels,enumOrdered,missingValues,trueValues,falseValues,custom,standardsMappings[0].instrument.url,standardsMappings[0].instrument.source,standardsMappings[0].instrument.title,standardsMappings[0].instrument.id,standardsMappings[0].item.url,standardsMappings[0].item.source,standardsMappings[0].item.id,relatedConcepts[0].url,relatedConcepts[0].title,relatedConcepts[0].source,relatedConcepts[0].id
0.3.2,scope_demographics,subject_id,Study ID (piped),Study ID (piped),string,,,,,,,,,,,,,,,,,,,,,,,,
0.3.2,scope_demographics,age,Age (years),Age (years),number,,,,,,,,,,,,,,,,,,,,,,,,
0.3.2,scope_demographics,sex,What is your sex?,What is your sex?,integer,,,,1|2|3|4,,,,1=Male|2=Female|3=Unknown|4=Intersex,,,,,,,,,,,,,,,,
0.3.2,scope_demographics,gender,What is your gender identity?,What is your gender identity?,integer,,,,1|2|3|4,,,,"1=Male|2=Female|3=Unknown|4=Other, specify: {gender_other}",,,,,,,,,,,,,,,,
0.3.2,scope_demographics,gender_other,Other gender identity,Other gender identity,string,,,,,,,,,,,,,,,,,,,,,,,,
0.3.2,scope_demographics,race___1,Race: American Indian or Alaska Native,Which of the following options best describes your race?  (Select all that best apply).[choice=American Indian or Alaska Native],boolean,,,,0|1,,,,0=Unchecked|1=Checked,,,,,,,,,,,,,,,,
0.3.2,scope_demographics,race___2,Race: Asian,Which of the following options best describes your race?  (Select all that best apply).[choice=Asian],boolean,,,,0|1,,,,0=Unchecked|1=Checked,,,,,,,,,,,,,,,,
0.3.2,scope_demographics,race___3,Race: Black or African American,Which of the following options best describes your race?  (Select all that best apply).[choice=Black or African American],boolean,,,,0|1,,,,0=Unchecked|1=Checked,,,,,,,,,,,,,,,,
0.3.2,scope_demographics,race___4,Race: Hispanic or Latino,Which of the following options best describes your race?  (Select all that best apply).[choice=Hispanic or Latino],boolean,,,,0|1,,,,0=Unchecked|1=Checked,,,,,,,,,,,,,,,,
0.3.2,scope_demographics,race___5,Race: Middle Eastern or North African,Which of the following options best describes your race?  (Select all that best apply).[choice=Middle Eastern or North African],boolean,,,,0|1,,,,0=Unchecked|1=Checked,,,,,,,,,,,,,,,,
