schemaVersion,section,name,title,description,type,format,constraints.required,constraints.maxLength,constraints.enum,constraints.pattern,constraints.maximum,constraints.minimum,enumLabels,enumOrdered,missingValues,trueValues,falseValues,custom,standardsMappings[0].instrument.url,standardsMappings[0].instrument.source,standardsMappings[0].instrument.title,standardsMappings[0].instrument.id,standardsMappings[0].item.url,standardsMappings[0].item.source,standardsMappings[0].item.id,relatedConcepts[0].url,relatedConcepts[0].title,relatedConcepts[0].source,relatedConcepts[0].id
0.3.2,consent_and_enrollment,equipdid,Equipd ID:ID assigned for each participant,Equipd ID:ID assigned for each participant,string,,,,,,,,,,,,,,,,,,,,,,,,
0.3.2,consent_and_enrollment,rp_event_name,REDCap event name:Event name/Assessment name used in the REDCap,REDCap event name:Event name/Assessment name used in the REDCap,string,,,,baseline_arm_1|randomization_arm_1|month_3_arm_1|month_6_arm_1|documentation_arm_1,,,,baseline_arm_1=Baseline|randomization_arm_1=Randomization|month_3_arm_1=Month 3|month_6_arm_1=Month 6|documentation_arm_1=Documentation,,,,,,,,,,,,,,,,
0.3.2,consent_and_enrollment,rp_repeat_instrument,REDCap repeat instrument name,REDCap repeat instrument name,string,,,,,,,,,,,,,,,,,,,,,,,,
0.3.2,consent_and_enrollment,rp_repeat_instance,REDCap repeat instance number,REDCap repeat instance number,integer,,,,,,,,,,,,,,,,,,,,,,,,
0.3.2,consent_and_enrollment,eligdate,Eligibility date,Eligibility date,date,any,,,,,,,,,,,,,,,,,,,,,,,
0.3.2,consent_and_enrollment,consentdate,Consent date,Consent date,date,any,,,,,,,,,,,,,,,,,,,,,,,
0.3.2,demographics,intrvdate,Baseline assessment interview date,Baseline assessment interview date,date,any,,,,,,,,,,,,,,,,,,,,,,,
0.3.2,demographics,age,"Age:Value for participant/subject's age, calculated as elapsed time since the birth of the participant/subject.","Age:Value for participant/subject's age, calculated as elapsed time since the birth of the participant/subject.",integer,,,,,,,,,,,,,,,,,,,,,,,,
0.3.2,demographics,edulevel,What is the highest level of education you have completed? :Highest level of education participant/subject has completed or the highest degree received,What is the highest level of education you have completed? :Highest level of education participant/subject has completed or the highest degree received,integer,,,,1|2|3|4|5|6|99,,,,1=Did not complete Secondary School or less than High School|2=Some Secondary School or High School education|3=High School or Secondary School degree complete|4=Associates or Technical Degree complete|5=College or Baccalaureate degree complete|6=Doctoral or Postgraduate education|99=Unknown/Prefer not to answer,,,,,,,,,,,,,,,,
0.3.2,demographics,edulevel_2,"Doctoral or Postgraduate Education, Specify which:","Doctoral or Postgraduate Education, Specify which:",integer,,,,1|2,,,,1=Doctoral|2=Postgraduate,,,,,,,,,,,,,,,,
0.3.2,demographics,ai_an,"The participant can select one or more races. :Participant/subject self declared racial origination, independent of ethnic origination, using OMB approved categories- American Indian or Alaska Native, A person having origins in any of the original peoples of North and South America (including Central America), and who maintains tribal affiliation or community attachment","The participant can select one or more races. :Participant/subject self declared racial origination, independent of ethnic origination, using OMB approved categories- American Indian or Alaska Native, A person having origins in any of the original peoples of North and South America (including Central America), and who maintains tribal affiliation or community attachment",integer,,,,0|1,,,,0=not checked|1=checked,,,,,,,,,,,,,,,,
0.3.2,demographics,asian,"The participant can select one or more races. :Participant/subject self declared racial origination, independent of ethnic origination, using OMB approved categories- Asian, A person having origins in any of the original peoples of the Far East, Southeast Asia, or the Indian subcontinent including, for example, Cambodia, China, India, Japan, Korea, Malaysia, Pakistan, the Philippine Islands, Thailand, and Vietnam","The participant can select one or more races. :Participant/subject self declared racial origination, independent of ethnic origination, using OMB approved categories- Asian, A person having origins in any of the original peoples of the Far East, Southeast Asia, or the Indian subcontinent including, for example, Cambodia, China, India, Japan, Korea, Malaysia, Pakistan, the Philippine Islands, Thailand, and Vietnam",integer,,,,0|1,,,,0=not checked|1=checked,,,,,,,,,,,,,,,,
0.3.2,demographics,bl_aa,"The participant can select one or more races. :Participant/subject self declared racial origination, independent of ethnic origination, using OMB approved categories-  Black or African-American, A person having origins in any of the black racial groups of Africa. Terms such as ""Haitian"" or ""Negro"" can be used in addition to ""Black or African American""","The participant can select one or more races. :Participant/subject self declared racial origination, independent of ethnic origination, using OMB approved categories-  Black or African-American, A person having origins in any of the black racial groups of Africa. Terms such as ""Haitian"" or ""Negro"" can be used in addition to ""Black or African American""",integer,,,,0|1,,,,0=not checked|1=checked,,,,,,,,,,,,,,,,
0.3.2,demographics,nh_pi,"The participant can select one or more races. :Participant/subject self declared racial origination, independent of ethnic origination, using OMB approved categories-  Native Hawaiian or Pacific Islander, Denotes a person having origins in any of the original peoples of Hawaii, Guam, Samoa, or other Pacific Islands. The term covers particularly people who identify themselves as part-Hawaiian, Native Hawaiian, Guamanian or Chamorro, Carolinian, Samoan, Chuu","The participant can select one or more races. :Participant/subject self declared racial origination, independent of ethnic origination, using OMB approved categories-  Native Hawaiian or Pacific Islander, Denotes a person having origins in any of the original peoples of Hawaii, Guam, Samoa, or other Pacific Islands. The term covers particularly people who identify themselves as part-Hawaiian, Native Hawaiian, Guamanian or Chamorro, Carolinian, Samoan, Chuu",integer,,,,0|1,,,,0=not checked|1=checked,,,,,,,,,,,,,,,,
0.3.2,demographics,white,"The participant can select one or more races. :Participant/subject self declared racial origination, independent of ethnic origination, using OMB approved categories-  White, Denotes a person with European, Middle Eastern, or North African ancestral origin who identifies, or is identified, as White","The participant can select one or more races. :Participant/subject self declared racial origination, independent of ethnic origination, using OMB approved categories-  White, Denotes a person with European, Middle Eastern, or North African ancestral origin who identifies, or is identified, as White",integer,,,,0|1,,,,0=not checked|1=checked,,,,,,,,,,,,,,,,
0.3.2,demographics,unkn,"The participant can select one or more races. :Participant/subject self declared racial origination, independent of ethnic origination, using OMB approved categories-  Unknown, Not provided or available","The participant can select one or more races. :Participant/subject self declared racial origination, independent of ethnic origination, using OMB approved categories-  Unknown, Not provided or available",integer,,,,0|1,,,,0=not checked|1=checked,,,,,,,,,,,,,,,,
0.3.2,demographics,ethnic,"Ethnicity:Category of ethnicity the participant/subject most closely identifies with. A social group characterized by a distinctive social and cultural tradition maintained from generation to generation, a common history and origin and a sense of identification with the group; members of the group have distinctive features in their way of life, shared experiences and often a common genetic heritage; these features may be reflected in their experience of health and disease","Ethnicity:Category of ethnicity the participant/subject most closely identifies with. A social group characterized by a distinctive social and cultural tradition maintained from generation to generation, a common history and origin and a sense of identification with the group; members of the group have distinctive features in their way of life, shared experiences and often a common genetic heritage; these features may be reflected in their experience of health and disease",integer,,,,1|2|3|4,,,,"1=Hispanic or Latino,A person of Mexican,Puerto Rican,Cuban,Central or South American or other Spanish culture or origin,regardless of race|2=Not Hispanic or Latino,A person not of Cuban,Mexican,Puerto Rican,South or Central American,or other Spanish culture or origin,regardless of race. An arbitrary ethnic classification|3=Unknown,Not known,not observed,not recorded,or refused|4=Not reported,Not provided or available",,,,,,,,,,,,,,,,
