module,name,title,description,type,format,constraints.maxLength,constraints.enum,constraints.pattern,constraints.maximum,constraints.minimum,encodings,ordered,missingValues,trueValues,falseValues,repo_link,standardsMappings.type,standardsMappings.label,standardsMappings.url,standardsMappings.source,standardsMappings.id,relatedConcepts.type,relatedConcepts.label,relatedConcepts.url,relatedConcepts.source,relatedConcepts.id,univarStats.median,univarStats.mean,univarStats.std,univarStats.min,univarStats.max,univarStats.mode,univarStats.count,univarStats.twentyFifthPercentile,univarStats.seventyFifthPercentile,univarStats.categoricalMarginals.name,univarStats.categoricalMarginals.count
screener,study_id,Study ID,Study ID,string,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
screener,consent_yes___1,Consent_Yes: I agree to participate in this study,"By checking this box you agree to participate in the study (you must check the box to continue): (If you would like to download or print a copy of the consent document, please click on this link.)[choice=I agree to participate in this study]",boolean,,,0|1,,,,0=Unchecked|1=Checked,,,,,,,,,,,,,,,,,,,,,,,,,,
screener,screen_age,1. How old are you today?,Demographic Information: 1. How old are you today?,integer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
screener,usa,2. Are you currently living within the United States?,Demographic Information: 2. Are you currently living within the United States?,boolean,,,0|1,,,,0=No|1=Yes,,,,,,,,,,,,,,,,,,,,,,,,,,
screener,residency,"3. Are you a resident from the state of Alabama, Nebraska, or Mississippi?","Demographic Information: 3. Are you a resident from the state of Alabama, Nebraska, or Mississippi?",integer,,,1|2|3|8,,,,"1=Yes, I am a resident from Alabama or Nebraska.|2=Yes, I am a resident from Mississippi.|3=No, I am not a resident of Alabama, Nebraska, or Mississippi.|8=Not asked",,,,,,,,,,,,,,,,,,,,,,,,,,
screener,screener_sex,4. Which biological sex were you assigned at birth?,Demographic Information: 4. Which biological sex were you assigned at birth?,integer,,,1|2,,,,1=Female|2=Male,,,,,,,,,,,,,,,,,,,,,,,,,,
screener,screener_gender,5. Which gender identity do you most identify with:,Demographic Information: 5. Which gender identity do you most identify with:,integer,,,1|2|3|4|5|6,,,,1=Female|2=Male|3=Gender non-conforming|4=Trans female/Trans woman|5=Trans male/Trans man|6=Prefer not to answer,,,,,,,,,,,,,,,,,,,,,,,,,,
screener,screen_pregnant,"6. Are you currently pregnant, or think you may be pregnant?","Demographic Information: 6. Are you currently pregnant, or think you may be pregnant?",boolean,,,0|1,,,,0=No|1=Yes,,,,,,,,,,,,,,,,,,,,,,,,,,
screener,screener_studyinfo,7. Where did you hear about this study?,Demographic Information: 7. Where did you hear about this study?,integer,,,1|2|3|4|5|6|7|8|9,,,,"1=University of Michigan-Michigan Medicine|2=Veterans Affairs (VA) Health System|3=Spectrum Health Services|4=Private doctor or buprenorphine clinic (please specify)|5=Outpatient substance use treatment clinic (e.g. Packard Health, Meridian Health Services, Gammons Medical)  (please specify)|6=A flyer in a public place  (please specify)|7=Website (e.g. InTheRooms.com) (please specify)|8=A friend or relative|9=Other (please specify)",,,,,,,,,,,,,,,,,,,,,,,,,,
screener,screener5_clinic,Please specify private doctor or buprenorphine clinic:,Demographic Information: Please specify private doctor or buprenorphine clinic:,string,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
