Study Variable,HEAL Core CRF Name Match,Exact/CRF Match Result,Close Match Result,PV/Encoding Result
record_id,no crf match,Not in CDE,No Close Match Found,No Comparison Possible
welcomemess,no crf match,Not in CDE,No Close Match Found,No Comparison Possible
first_name,no crf match,Not in CDE,No Close Match Found,No Comparison Possible
last_name,no crf match,Not in CDE,No Close Match Found,No Comparison Possible
phone,no crf match,Not in CDE,No Close Match Found,No Comparison Possible
textout___1,no crf match,Not in CDE,No Close Match Found,No Comparison Possible
sitename,no crf match,Not in CDE,No Close Match Found,No Comparison Possible
email,no crf match,Not in CDE,No Close Match Found,No Comparison Possible
above18,no crf match,Not in CDE,No Close Match Found,No Comparison Possible
fmdiag,no crf match,Not in CDE,No Close Match Found,No Comparison Possible
reffered,no crf match,Not in CDE,No Close Match Found,No Comparison Possible
spkenglish,no crf match,Not in CDE,No Close Match Found,No Comparison Possible
willingtens,no crf match,Not in CDE,No Close Match Found,No Comparison Possible
implanted_device,no crf match,Not in CDE,No Close Match Found,No Comparison Possible
another_study,no crf match,Not in CDE,No Close Match Found,No Comparison Possible
tens_use,no crf match,Not in CDE,No Close Match Found,No Comparison Possible
epilepsy,no crf match,Not in CDE,No Close Match Found,No Comparison Possible
cancer,no crf match,Not in CDE,No Close Match Found,No Comparison Possible
pregnant,no crf match,Not in CDE,No Close Match Found,No Comparison Possible
pad_reaction,no crf match,Not in CDE,No Close Match Found,No Comparison Possible
fmtips_id,no crf match,Not in CDE,No Close Match Found,No Comparison Possible
street_address,no crf match,Not in CDE,No Close Match Found,No Comparison Possible
city_address,no crf match,Not in CDE,No Close Match Found,No Comparison Possible
state_address,no crf match,Not in CDE,No Close Match Found,No Comparison Possible
zip_address,no crf match,Not in CDE,No Close Match Found,No Comparison Possible
contract_yn,no crf match,Not in CDE,No Close Match Found,No Comparison Possible
initials,no crf match,Not in CDE,No Close Match Found,No Comparison Possible
date_signed,no crf match,Not in CDE,No Close Match Found,No Comparison Possible
signature,no crf match,Not in CDE,No Close Match Found,No Comparison Possible
signature_2,no crf match,Not in CDE,No Close Match Found,No Comparison Possible
randomized,no crf match,Not in CDE,No Close Match Found,No Comparison Possible
healthsystem,no crf match,Not in CDE,No Close Match Found,No Comparison Possible
site_email,no crf match,Not in CDE,No Close Match Found,No Comparison Possible
site_id,no crf match,Not in CDE,No Close Match Found,No Comparison Possible
consent_upload,no crf match,Not in CDE,No Close Match Found,No Comparison Possible
rest_pain,no crf match,Not in CDE,No Close Match Found,No Comparison Possible
