Study Variable,HEAL Core CRF Name Match,Exact/CRF Match Result,Close Match Result,PV/Encoding Result
equipdid,no crf match,Not in CDE,No Close Match Found,No Comparison Possible
redcap_event_name,no crf match,Not in CDE,No Close Match Found,No Comparison Possible
redcap_repeat_instrument,no crf match,Not in CDE,No Close Match Found,No Comparison Possible
redcap_repeat_instance,no crf match,Not in CDE,No Close Match Found,No Comparison Possible
eligdate,no crf match,Not in CDE,No Close Match Found,No Comparison Possible
consentdate,no crf match,Not in CDE,No Close Match Found,No Comparison Possible
intrvdate,no crf match,Not in CDE,No Close Match Found,No Comparison Possible
age,demographics,Exact Match,,Both PV/Encoding missing
edulevel,demographics,Exact Match,,"PV Mismatch: True, Encoding Mismatch: True"
edulevel_2,demographics,Wrong CRF (via Close Match and Fuzzy CRF),Close Match: edulevel (Fuzzy CRF Match),No Comparison Possible
"ai_an





",demographics,Not in CDE,No Close Match Found,No Comparison Possible
asian,demographics,Exact Match,,Close PV/Encoding Match: ai_an (Score: 100.0)
bl_aa,demographics,Exact Match,,Close PV/Encoding Match: ai_an (Score: 100.0)
nh_pi,demographics,Exact Match,,Close PV/Encoding Match: ai_an (Score: 100.0)
white,demographics,Exact Match,,Close PV/Encoding Match: ai_an (Score: 100.0)
unkn,demographics,Exact Match,,Close PV/Encoding Match: ai_an (Score: 100.0)
ethnic,demographics,Exact Match,,Close PV/Encoding Match: ethnic (Score: 100.0)
sex,demographics,Exact Match,,Close PV/Encoding Match: sex (Score: 100.0)
genident,demographics,Exact Match,,Close PV/Encoding Match: genident (Score: 100.0)
genidentoth ,sdoh demographics,Wrong CRF (via Fuzzy Match),Close Match: genidentoth  (Fuzzy CRF Match),Both PV/Encoding missing
maristat,demographics,Exact Match,,"PV Mismatch: True, Encoding Mismatch: True"
maristatoth,demographics,Wrong CRF (via Close Match and Fuzzy CRF),Close Match: maristat (Fuzzy CRF Match),No Comparison Possible
empstat,sdoh demographics,Wrong CRF (via Fuzzy Match),Close Match: empstat (Fuzzy CRF Match),"PV Mismatch: True, Encoding Mismatch: True"
empstat_2___1,sdoh demographics,Not in CDE,No Close Match Found,No Comparison Possible
empstat_2___2,sdoh demographics,Not in CDE,No Close Match Found,No Comparison Possible
empstat_2___3,sdoh demographics,Not in CDE,No Close Match Found,No Comparison Possible
empstat_2___4,sdoh demographics,Not in CDE,No Close Match Found,No Comparison Possible
empstat_2___5,sdoh demographics,Not in CDE,No Close Match Found,No Comparison Possible
empstat_2___6,sdoh demographics,Not in CDE,No Close Match Found,No Comparison Possible
empstat_3,sdoh demographics,Wrong CRF (via Close Match and Fuzzy CRF),Close Match: empstat (Fuzzy CRF Match),No Comparison Possible
empstat_4,no crf match,Not in CDE,Close Match: empstat (CRF Mismatch),No Comparison Possible
incmlvl,sdoh demographics,Wrong CRF (via Fuzzy Match),Close Match: incmlvl (Fuzzy CRF Match),Close PV/Encoding Match: incmlvl (Score: 100.0)
incmlvl_2,sdoh demographics,Wrong CRF (via Close Match and Fuzzy CRF),Close Match: incmlvl (Fuzzy CRF Match),No Comparison Possible
disabinsind,no crf match,Wrong CRF,Close Match: disabinsind (CRF Mismatch),"PV Mismatch: True, Encoding Mismatch: True"
paindur,no crf match,Wrong CRF,Close Match: paindur (CRF Mismatch),Both PV/Encoding missing
demruca1,no crf match,Wrong CRF,Close Match: demruca1 (CRF Mismatch),Close PV/Encoding Match: demruca1 (Score: 100.0)
demruca2,no crf match,Wrong CRF,Close Match: demruca2 (CRF Mismatch),Close PV/Encoding Match: demruca2 (Score: 100.0)
randomize,no crf match,Not in CDE,No Close Match Found,No Comparison Possible
randomizedate,no crf match,Not in CDE,No Close Match Found,No Comparison Possible
intrvdate_1,no crf match,Not in CDE,No Close Match Found,No Comparison Possible
coach_satisf,no crf match,Not in CDE,No Close Match Found,No Comparison Possible
cs3coachingsessions,no crf match,Not in CDE,No Close Match Found,No Comparison Possible
cs3yourcoach,no crf match,Not in CDE,No Close Match Found,No Comparison Possible
