module,name,title,description,type,format,constraints.maxLength,constraints.enum,constraints.pattern,constraints.maximum,constraints.minimum,encodings,ordered,missingValues,trueValues,falseValues,repo_link,standardsMappings.type,standardsMappings.label,standardsMappings.url,standardsMappings.source,standardsMappings.id,relatedConcepts.type,relatedConcepts.label,relatedConcepts.url,relatedConcepts.source,relatedConcepts.id,univarStats.median,univarStats.mean,univarStats.std,univarStats.min,univarStats.max,univarStats.mode,univarStats.count,univarStats.twentyFifthPercentile,univarStats.seventyFifthPercentile,univarStats.categoricalMarginals.name,univarStats.categoricalMarginals.count
phone_screening,pid,Participant ID,Participant ID,string,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
phone_screening,mrn,MRN,MRN,string,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
phone_screening,acrostic,Acrostic,Acrostic,string,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
phone_screening,interview_date,Interview Date,Interview Date,date,any,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
phone_screening,interviewer,Interviewer,Interviewer,integer,,,1|2|3|4|5,,,,1=Brenda Sanchez|2=Shaketa Gillis|3=Judy Hooker|4=Jalen Miles|5=Christine Oneill,,,,,,,,,,,,,,,,,,,,,,,,,,
phone_screening,eligibility_interview,"Hi, my name is Judy Hooker [or another research staff] from Wake Baptist Medical Center.  Your primary care provider [Name of the Provider] has asked me to give you a call to see if you might be interested in participating in our study to improve the management of pain. Can I ask you several questions to see if you fit the study criteria?","ELIGIBILITY INTERVIEW: Hi, my name is Judy Hooker [or another research staff] from Wake Baptist Medical Center.  Your primary care provider [Name of the Provider] has asked me to give you a call to see if you might be interested in participating in our study to improve the management of pain. Can I ask you several questions to see if you fit the study criteria?",boolean,,,0|1,,,,0=No|1=Yes,,,,,,,,,,,,,,,,,,,,,,,,,,
phone_screening,permission_reasons,1. Would you be willing to tell us of any particular reason you are not interested?,ELIGIBILITY INTERVIEW: 1. Would you be willing to tell us of any particular reason you are not interested?,string,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
phone_screening,diagnosed_fibromyalgia,"2. Have you EVER had pain in your arms, legs, back, neck, or other joints?","BEGIN SCREENING INTERVIEW: 2. Have you EVER had pain in your arms, legs, back, neck, or other joints?",boolean,,,0|1,,,,0=No|1=Yes,,,,,,,,,,,,,,,,,,,,,,,,,,
phone_screening,par_q2,3. Have you had this pain for at least 3 MONTHS?,BEGIN SCREENING INTERVIEW: 3. Have you had this pain for at least 3 MONTHS?,boolean,,,0|1,,,,0=No|1=Yes,,,,,,,,,,,,,,,,,,,,,,,,,,
phone_screening,head_ache,Head(ache),4. Where (in your body) are you currently having pain?: Head(ache),integer,,,1|0,,,,1=Yes|0=No,,,,,,,,,,,,,,,,,,,,,,,,,,
